ID,NAME,RESPONSE,PREFEC,DISTRICT,PR,PRBLOCK,INCUMB,TERM,PARTY,SEX,AGE,RESULT,Q1_1,Q1_2,Q1_3,Q2_1,Q2_2,Q2_3,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q6_15,Q6_16,Q6_17,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q8,SQ8_1,SQ8_2,SQ8_3,Q9,Q10,Q11,Q12,Q13,Q14_1,Q14_2,Q14_3,Q15_1,Q15_2,Q15_3,Q1_1FA,Q1_2FA,Q1_3FA,SQ8_1FA,SQ8_2FA,SQ8_3FA,Q15FA
49,木村＝太郎,1,2,4,0,52,3,6,1,1,49,1,16,4,16,1,3,5,100,20,50,75,50,0,0,0,0,50,50,50,8,8,1,3,3,2,3,2,2,2,2,2,3,5,3,1,1,5,3,3,3,3,3,2,3,3,4,3,3,1,9,3,8,1,1,3,2,2,2,0,1,2,1,6,経済対策,,地方創生,,,,
50,山内＝崇,1,2,4,0,52,1,0,2,1,59,0,4,5,7,1,4,3,30,100,60,40,45,50,40,45,60,60,50,50,6,5,2,4,2,5,4,2,2,3,2,2,5,2,3,2,2,2,2,2,4,4,2,4,4,4,4,1,4,4,66,66,66,4,5,4,4,3,3,0,0,2,1,13,,,,,,,
51,千葉＝浩規,1,2,4,0,66,1,0,6,1,53,0,16,4,7,2,1,5,0,25,0,0,0,0,999,0,25,0,0,0,1,1,5,5,5,5,5,4,3,5,5,5,5,1,4,5,5,1,2,5,5,1,3,3,1,5,5,2,4,5,66,66,66,5,5,5,5,4,5,3,0,1,2,6,消費税10%は先送りでなく中止を。,,,,,,
52,高橋＝比奈子,1,3,1,0,52,3,1,1,2,56,2,13,9,6,2,4,1,100,50,50,90,50,50,25,50,25,50,50,50,6,8,3,3,3,2,4,2,3,2,2,3,3,3,3,2,3,4,1,3,3,3,3,3,3,3,3,1,2,1,3,99,99,1,2,2,2,2,4,2,1,2,6,13,,,,,,,
53,階＝猛,1,3,1,0,52,3,3,2,1,48,1,13,12,3,5,4,2,20,90,60,40,30,60,30,40,40,50,50,50,4,5,3,4,3,5,4,3,4,2,4,5,4,3,3,3,3,2,2,3,4,3,2,4,3,4,4,2,4,4,66,66,66,5,5,4,5,99,4,3,2,2,8,14,,,,,,,
54,細川＝光正,1,3,1,0,52,1,0,8,1,65,0,12,6,5,1,3,4,0,20,0,10,10,0,75,20,100,10,10,10,1,1,5,5,5,5,5,2,5,5,5,5,5,1,5,5,5,1,2,5,5,5,1,5,1,5,5,1,5,5,66,66,66,5,5,4,3,4,0,0,1,1,2,9,,,,,,,
55,吉田＝恭子,1,3,1,0,66,1,0,6,2,33,0,13,16,7,1,2,5,999,999,999,999,999,999,999,999,999,999,999,999,3,3,5,5,3,5,5,2,3,5,5,5,5,1,3,3,5,1,2,4,4,1,3,4,1,4,3,2,5,5,66,66,66,5,5,5,5,4,0,3,1,1,6,9,,消費税増税　先送りでなく中止,,,,,
56,鈴木＝俊一,1,3,2,0,52,3,7,1,1,61,1,13,4,1,5,3,1,100,10,10,100,50,999,0,0,10,10,0,50,7,5,1,2,3,1,3,2,2,3,2,2,3,3,2,1,2,3,4,2,3,3,2,1,3,4,3,2,3,1,3,1,8,1,1,3,2,2,3,0,1,2,1,7,,,,,,,
57,畑＝浩治,1,3,2,0,52,3,2,7,1,51,0,13,14,4,5,1,2,40,100,80,30,50,999,30,999,80,80,50,50,5,5,3,4,3,4,3,1,3,5,4,2,2,3,3,3,5,2,2,99,5,2,3,3,1,5,4,3,5,5,66,66,66,5,5,5,5,4,4,2,4,6,2,3,,,,,,,
58,久保＝幸男,1,3,2,0,66,1,0,6,1,56,0,4,13,6,3,2,1,0,0,0,0,0,0,100,10,20,0,0,0,0,0,5,5,4,5,5,2,3,5,5,5,5,1,3,2,5,2,2,4,5,1,2,5,1,5,5,2,4,5,66,66,66,5,5,5,5,4,0,1,0,1,2,6,,,,,,,
59,橋本＝英教,1,3,3,0,52,3,1,1,1,47,2,13,7,16,5,2,3,100,10,60,90,70,60,0,0,40,20,50,40,5,7,1,3,2,3,4,2,2,3,2,1,3,4,3,2,1,3,3,2,3,3,4,4,5,5,4,3,2,2,3,1,2,1,1,2,1,2,5,0,0,6,3,5,,,,,,,
60,黄川田＝徹,1,3,3,0,52,3,5,2,1,61,1,13,11,3,1,5,2,30,95,65,30,50,60,40,65,60,60,50,50,6,4,4,5,3,4,4,3,3,2,4,4,4,2,3,3,3,3,3,3,4,2,3,3,3,4,3,4,3,2,4,8,7,5,5,4,3,2,1,0,1,2,1,7,,,,,,,
61,菊池＝幸夫,1,3,3,0,66,1,0,6,1,55,0,7,12,4,1,2,3,5,5,0,0,0,0,100,5,5,0,0,0,2,2,5,5,5,5,5,2,1,5,5,5,5,1,4,4,5,1,2,5,5,1,3,5,1,5,5,4,5,5,66,66,66,5,5,5,5,4,1,4,1,2,6,14,,,,,,,
