uid,ELECYEAR,ID,NAME,RESPONSE,PREFEC,DISTRICT,PRBLOCK,INCUMB,TERM,PARTY,SEX,AGE,RESULT,prim1,prim2,prim3,camp1,camp2,camp3,coal_lib,coal_dem,coal_kmei,coal_com,coal_soc,coal_koku,yn_medconst,yn_reps,yn_const,yn_defense,yn_preemp,yn_unsc,yn_nkorea,yn_smgov,yn_pubspend,yn_fiscalpol,yn_tax5yrs,yn_frgnvote,yn_frgnwork,yn_privacy,yn_tax10pc,yn_moral,ab_asiaus,ab_compet,ab_env,ab_singlemum,ab_trade,fav_masuzoe,fav_ozawa,fav_watanabe,fav_hashimoto,media_hp,media_sns,media_tv
1768.2.0,2009,54,田名部＝匡代,1,2.0,3.0,52.0,3,2,2,2,39.0,3,,,,3.0,2.0,4.0,,4.0,,,,,5.0,3.0,4.0,2.0,3.0,1.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,,,,,2.0,3.0,3.0,50.0,100.0,50.0,50.0,,,
144.2.0,2009,55,中西＝修二,1,2.0,3.0,,1,0,11,1,62.0,4,,,,3.0,4.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,5.0,2.0,2.0,4.0,,,,,3.0,1.0,3.0,50.0,0.0,50.0,75.0,,,
1210.2.0,2009,56,木村＝太郎,1,2.0,4.0,52.0,3,4,1,1,43.0,1,,,,1.0,5.0,3.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,,,,,3.0,2.0,2.0,,,,,,,
1601.2.0,2009,57,津島＝恭一,1,2.0,4.0,52.0,2,2,2,1,54.0,3,,,,1.0,3.0,4.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,5.0,3.0,3.0,2.0,,,,,2.0,2.0,1.0,0.0,100.0,50.0,0.0,,,
1895.2.0,2009,58,石田＝昭弘,1,2.0,4.0,,1,0,11,1,50.0,4,,,,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,5.0,2.0,1.0,4.0,,,,,4.0,2.0,5.0,50.0,0.0,50.0,50.0,,,
2489.3.0,2009,59,高橋＝比奈子,1,3.0,1.0,52.0,1,0,1,2,50.0,4,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2421.3.0,2009,60,階＝猛,1,3.0,1.0,52.0,3,1,2,1,42.0,1,,,,3.0,5.0,1.0,3.0,4.0,3.0,3.0,2.0,1.0,5.0,4.0,3.0,5.0,3.0,2.0,4.0,5.0,3.0,4.0,3.0,2.0,3.0,3.0,,,,,2.0,2.0,3.0,25.0,100.0,50.0,40.0,,,
265.3.0,2009,61,伊沢＝昌弘,1,3.0,1.0,52.0,1,0,5,1,61.0,4,,,,1.0,2.0,5.0,3.0,2.0,3.0,3.0,4.0,2.0,1.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,5.0,2.0,4.0,5.0,,,,,1.0,3.0,2.0,50.0,0.0,0.0,30.0,,,
497.3.0,2009,62,吉田＝恭子,1,3.0,1.0,,1,0,4,2,27.0,4,,,,1.0,2.0,5.0,3.0,3.0,3.0,4.0,2.0,3.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,2.0,4.0,5.0,1.0,3.0,5.0,,,,,3.0,2.0,1.0,0.0,0.0,0.0,0.0,,,
1425.3.0,2009,63,森＝憲作,1,3.0,1.0,,1,0,11,1,52.0,4,,,,3.0,4.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,3.0,1.0,2.0,,,,,4.0,3.0,4.0,50.0,0.0,50.0,50.0,,,
2348.3.0,2009,64,鈴木＝俊一,1,3.0,2.0,52.0,3,6,1,1,55.0,4,,,,1.0,5.0,3.0,4.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,3.0,1.0,2.0,4.0,1.0,1.0,2.0,3.0,3.0,3.0,,,,,3.0,2.0,3.0,50.0,30.0,40.0,50.0,,,
1799.3.0,2009,65,畑＝浩治,1,3.0,2.0,52.0,1,0,2,1,45.0,1,,,,1.0,3.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,5.0,1.0,2.0,5.0,2.0,3.0,3.0,,,,,2.0,3.0,3.0,,100.0,,,,,
1059.3.0,2009,66,工藤＝哲子,1,3.0,2.0,,1,0,11,2,46.0,4,,,,3.0,4.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,5.0,4.0,1.0,3.0,,,,,3.0,3.0,5.0,40.0,0.0,50.0,50.0,,,
1479.3.0,2009,67,橋本＝英教,1,3.0,3.0,52.0,1,0,1,1,41.0,4,,,,1.0,4.0,3.0,4.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,5.0,2.0,1.0,3.0,5.0,5.0,3.0,,,,,3.0,3.0,1.0,100.0,,0.0,50.0,,,
2528.3.0,2009,68,黄川田＝徹,1,3.0,3.0,52.0,3,3,2,1,55.0,1,,,,1.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,5.0,3.0,3.0,3.0,3.0,1.0,2.0,5.0,3.0,2.0,4.0,2.0,3.0,4.0,,,,,3.0,4.0,3.0,,,,,,,
2415.3.0,2009,69,阿部＝忠臣,1,3.0,3.0,,1,0,11,1,35.0,4,,,,1.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,5.0,1.0,1.0,4.0,,,,,3.0,1.0,4.0,75.0,25.0,75.0,75.0,,,
2485.3.0,2009,70,高橋＝嘉信,1,3.0,4.0,52.0,2,1,1,1,55.0,4,,,,1.0,3.0,5.0,4.0,2.0,2.0,,,,4.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,,,,,2.0,3.0,2.0,70.0,30.0,50.0,40.0,,,
1699.3.0,2009,71,瀬川＝貞清,1,3.0,4.0,52.0,1,0,4,1,58.0,4,,,,2.0,1.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,3.0,5.0,5.0,1.0,4.0,5.0,,,,,1.0,5.0,1.0,0.0,30.0,0.0,0.0,,,
786.3.0,2009,72,小原＝宣良,1,3.0,4.0,52.0,1,0,5,1,65.0,4,,,,1.0,2.0,4.0,3.0,2.0,3.0,3.0,4.0,2.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,2.0,3.0,5.0,1.0,2.0,2.0,,,,,1.0,2.0,2.0,30.0,5.0,30.0,50.0,,,
841.3.0,2009,73,小沢＝一郎,1,3.0,4.0,,3,13,2,1,66.0,1,,,,3.0,1.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,5.0,5.0,2.0,5.0,5.0,1.0,1.0,5.0,1.0,,,1.0,,5.0,,,,,2.0,1.0,3.0,,,,,,,
713.3.0,2009,74,安永＝陽,1,3.0,4.0,,1,0,11,1,61.0,4,,,,4.0,2.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,2.0,1.0,2.0,,,,,2.0,1.0,3.0,77.0,1.0,55.0,55.0,,,
